ID,Date,Name,Age,Father's Name,Father's Occupation,Address,City,State,Pincode,School Name,Board,Course,Email ID,Ph No,Gender,Specialization,How did they know about the college,Talk Start Duration,Talk End Duration,Marketer Assigned,Inquiry Type,Called
57,01-01-2024,Tanvi,19,Wahab,Farmer,"H.No. 69, Pau Road, Nellore-415865",Solapur,Tamil Nadu,712448,National Public School,ICSE,BBA,brindamunshi@example.org,+91 +913155037100,Female,Marketing,Website,14:16:18,14:28:18,Raj,No Interest,No
58,01-01-2024,Faqid,25,Azad,Businessman,"848, Bala Nagar, Karimnagar 365574",Nandyal,Telugu,310642,National Public School,State,BBA,rhari@example.net,+91 +916290993750,Female,Operations,Social media,16:12:52,17:01:52,Raj,"Fee Structure Inquiry, Specialization available, No.of candidates placed",Yes
59,01-01-2024,Ati,23,Janani,Doctor,"82, Devi Nagar, Bhiwandi-393371",Pune,Kerala,19852,Narayana Group,ICSE,MBA,cnatt@example.net,+91 +918614173863,Female,HR,Cricket Match,11:58:51,12:34:51,Raj,Campus Location,Yes
60,01-01-2024,Yagnesh,19,Ekanta,Farmer,"H.No. 169, Trivedi Path, Nanded-590247",Mathura,Kerala,582512,National Public School,State,MBA,cnath@example.net,+91 +918194779689,Female,HR,Friends,14:11:04,14:46:04,Raj,"Campus Location, Brochure Request",No
61,01-01-2024,Udant,19,Ekanta,Farmer,"H.No. 93, Date Circle, Bhusawal-569529",Guntur,Kerala,483960,Narayana Group,State,BBA,wridesh61@example.com,+91 4158771012,Male,Marketing,Social media,17:31:29,17:46:29,Raj,Placement opportunities,Yes
62,01-01-2024,Oliver,23,Geetika,Doctor,"71/208, Biswas Path, Guwahati 796603",Visakhapatnam,Telugu,353765,National Public School,CBSE,BBA,darshnarula@example.com,+91 +919537442941,Female,Marketing,Cricket Match,15:44:28,15:56:28,Raj,"Placement opportunities, Campus Location",Yes
63,01-01-2024,Arjun,19,Xiti,Businessman,"35/486, Choudhary Zila, Dehradun-473831",Jamnagar,Telugu,317770,Chinmaya Vidyalaya,CBSE,MBA,warinder61@example.net,+91 5475608068,Female,Operations,Social media,12:40:32,12:59:32,Raj,"No Interest, Fee Structure Inquiry, Brochure Request",No
64,01-01-2024,Kevin,25,Aarnav,Teacher,"00/14, Issac Nagar, Buxar-324689",Gaya,Telugu,524487,St. Joseph's Matriculation,State,MBA,horanihal@example.com,+91 +915663460589,Male,Marketing,Website,11:29:40,12:14:40,Raj,"No.of candidates placed, Specialization available",No
65,01-01-2024,Logan,24,Turvi,Businessman,"63, Tak Road, Bihar Sharif 177953",Malegaon,Tamil Nadu,969990,St. Joseph's Matriculation,CBSE,BBA,naveencontractor@example.net,+91 09502873820,Male,HR,LinkedIn,11:42:03,12:11:03,Raj,No.of candidates placed,No
66,01-01-2024,Sneha,20,Aahana,Businessman,"462, Gala Marg, Shivpuri-619510",Vijayanagaram,Telugu,932888,Vidhya Mandir,CBSE,BBA,ramaswamyyutika@example.net,+91 6910335093,Male,Marketing,Website,17:08:46,18:04:46,Raj,"No Interest, Specialization available",Yes
67,01-01-2024,Ikshita,25,Triya,Farmer,"55/66, More Marg, Pune-781391",Patiala,Telugu,627070,National Public School,CBSE,MBA,ckaur@example.com,+91 +913336061343,Male,Finance,Friends,14:23:32,15:11:32,Raj,"Other Queries, Specialization available",Yes
68,01-01-2024,Amruta,18,Sachi,Teacher,"00/49, Seshadri Path, Amroha-738090",Arrah,Kerala,911999,Don Bosco School,CBSE,BBA,yvasa@example.com,+91 +917805361004,Female,HR,Social media,17:39:57,18:05:57,Raj,"No Interest, Placement opportunities, Campus Location",No
69,01-01-2024,Lohit,22,Akshay,Engineer,"56/282, Balakrishnan Path, Secunderabad 552039",Haridwar,Tamil Nadu,482684,Vidhya Mandir,ICSE,MBA,janya40@example.com,+91 +917958858506,Female,Marketing,LinkedIn,11:18:43,11:32:43,Raj,Campus Location,No
70,01-01-2024,Darsh,19,Waida,Farmer,"H.No. 323, De Path, Sikar 284103",Alappuzha,Kerala,574287,National Public School,State,BBA,nsahota@example.org,+91 02931788938,Male,Finance,Website,12:54:56,13:20:56,Raj,Placement opportunities,No
71,01-01-2024,Jalsa,19,Nidra,Doctor,"41/497, Kohli Circle, Bhubaneswar 525806",Belgaum,Tamil Nadu,607942,St. Joseph's Matriculation,CBSE,MBA,avi25@example.org,+91 +911549845219,Male,Operations,Friends,10:32:42,11:21:42,Raj,No.of candidates placed,No
72,01-01-2024,Maanas,19,Bhavna,Businessman,"00/92, Chokshi Circle, Katihar 917525",Madanapalle,Kerala,250565,St. Joseph's Matriculation,CBSE,BBA,brindadoshi@example.net,+91 +916990129592,Female,HR,Cricket Match,16:03:40,16:26:40,Raj,"Specialization available, No Interest, Other Queries",No
73,01-01-2024,Damini,18,Fitan,Farmer,"H.No. 60, Dhar Path, Tinsukia 063320",Darbhanga,Kerala,757588,Chinmaya Vidyalaya,ICSE,MBA,lakshitganguly@example.net,+91 +912286692898,Female,Marketing,Friends,12:34:37,12:42:37,Raj,"No.of candidates placed, Brochure Request, Fee Structure Inquiry",Yes
74,01-01-2024,Vaishnavi,19,Akshay,Businessman,"H.No. 772, Handa Marg, Nanded-949778",Jabalpur,Telugu,763259,St. Joseph's Matriculation,State,MBA,girishbuch@example.net,+91 05542615543,Male,Operations,Friends,10:06:32,10:54:32,Raj,"No Interest, No.of candidates placed",Yes
75,01-01-2024,Kavya,17,Adweta,Engineer,"65, Borah Nagar, Jaunpur 235378",Kozhikode,Tamil Nadu,736696,St. Joseph's Matriculation,CBSE,BBA,gdora@example.org,+91 +917639369289,Female,Marketing,LinkedIn,15:35:17,16:33:17,Raj,"Campus Location, No Interest, Fee Structure Inquiry",Yes
76,01-01-2024,Mason,18,Girindra,Farmer,"442, Andra Street, Asansol 963147",Lucknow,Kerala,928726,Vidhya Mandir,CBSE,MBA,valatarak@example.com,+91 +911872072170,Male,Operations,Cricket Match,14:05:35,15:03:35,Priya,"No Interest, No.of candidates placed, Fee Structure Inquiry",Yes
77,01-01-2024,Triya,21,Umang,Farmer,"H.No. 315, Pai Circle, Visakhapatnam 267433",Malda,Kerala,766048,Narayana Group,State,MBA,pallaleela@example.net,+91 +911178746201,Female,Operations,Friends,09:57:18,10:22:18,Priya,"Availability of Hostel facility, Scope of the course",No
78,01-01-2024,Amaira,22,Geetika,Engineer,"H.No. 60, Vora Chowk, Dhule-935419",Thoothukudi,Tamil Nadu,542187,National Public School,CBSE,MBA,nilima62@example.com,+91 04762887751,Female,HR,Cricket Match,12:48:21,13:06:21,Priya,"Placement opportunities, Fee Structure Inquiry",Yes
79,01-01-2024,Nihal,21,Wakeeta,Businessman,"78, Sood Chowk, Muzaffarpur-900298",Medininagar,Tamil Nadu,138721,National Public School,CBSE,MBA,ekbaldara@example.com,+91 +910816677938,Female,Marketing,Website,11:36:20,12:16:20,Priya,"Other Queries, Specialization available",No
80,01-01-2024,Hardik,23,Hemal,Engineer,"57/28, Deshmukh Marg, Sri Ganganagar 058639",Tiruvottiyur,Telugu,746990,Narayana Group,ICSE,BBA,shivanshkothari@example.net,+91 +912784940181,Male,Finance,Social media,14:47:29,15:21:29,Priya,"Other Queries, No.of candidates placed",No
81,01-01-2024,Udyati,17,Aarna,Engineer,"H.No. 402, Seth Circle, Gulbarga 521782",Surendranagar Dudhrej,Tamil Nadu,404941,Don Bosco School,ICSE,BBA,gavinpal@example.net,+91 0907786285,Female,HR,Cricket Match,13:23:21,14:02:21,Priya,"Fee Structure Inquiry, Placement opportunities",Yes
82,01-01-2024,Samar,19,Dipta,Teacher,"634, Mohan Chowk, Karawal Nagar-864299",Gopalpur,Tamil Nadu,449361,National Public School,CBSE,BBA,vedasaxena@example.com,+91 02657262651,Male,Operations,Website,11:49:18,12:00:18,Priya,"No Interest, Scope of the course",Yes
83,01-01-2024,Champak,17,Vyanjana,Engineer,"H.No. 712, Kaur Nagar, Alappuzha 968668",Dehradun,Telugu,913624,St. Joseph's Matriculation,CBSE,BBA,kamya99@example.net,+91 0844113584,Male,Marketing,Social media,16:29:37,16:48:37,Priya,"Campus Location, Fee Structure Inquiry",Yes
84,01-01-2024,Gaurika,22,Yashasvi,Engineer,"H.No. 357, Amble Ganj, Dehri-301095",Gulbarga,Tamil Nadu,307545,National Public School,ICSE,BBA,uaggarwal@example.net,+91 6211490959,Male,Operations,Website,16:25:18,16:37:18,Priya,"Brochure Request, Other Queries, No Interest",Yes
85,01-01-2024,Omisha,21,Radhika,Farmer,"963, Pandya Zila, Thane 210333",Nizamabad,Telugu,986454,Don Bosco School,CBSE,MBA,ckarpe@example.com,+91 +913556007904,Male,Marketing,Website,14:43:26,15:09:26,Priya,"Other Queries, Placement opportunities, Availability of Hostel facility",Yes
86,01-01-2024,Jagat,25,Qabil,Engineer,"07/03, Lala Zila, Tirupati-436571",Etawah,Telugu,336458,Narayana Group,State,MBA,gavin86@example.com,+91 00770813493,Female,HR,Cricket Match,14:38:22,15:23:22,Priya,No.of candidates placed,Yes
87,01-01-2024,Peter,24,Ranbir,Engineer,"H.No. 36, Rajagopalan Zila, Miryalaguda-481227",Khora ,Telugu,612083,Vidhya Mandir,ICSE,MBA,vaidyayuvraj@example.org,+91 07377713518,Female,Finance,Cricket Match,17:25:32,17:37:32,Priya,Availability of Hostel facility,Yes
88,01-01-2024,Idika,18,Kala,Doctor,"93/748, Bansal Circle, Rewa 192834",Cuttack,Telugu,593181,Don Bosco School,ICSE,BBA,aarna72@example.org,+91 1165254231,Male,Operations,LinkedIn,17:22:09,17:29:09,Priya,"No.of candidates placed, Specialization available, Fee Structure Inquiry",No
89,01-01-2024,Atharv,18,Karan,Farmer,"H.No. 66, Loke Path, Madanapalle-593485",Pudukkottai,Kerala,834513,Vidhya Mandir,CBSE,MBA,isaac20@example.org,+91 0680628041,Female,Finance,Friends,11:20:58,11:26:58,Priya,"Scope of the course, Campus Location, Fee Structure Inquiry",Yes
90,01-01-2024,Abeer,17,Maanas,Teacher,"H.No. 10, Krish Circle, Ghaziabad 116088",Latur,Tamil Nadu,94094,St. Joseph's Matriculation,ICSE,MBA,jalsasahota@example.org,+91 +913279021650,Female,HR,Social media,10:07:34,10:43:34,Priya,"Campus Location, Specialization available, Other Queries",No
91,01-01-2024,Samar,25,Jonathan,Engineer,"H.No. 14, Khatri Street, Jamnagar 815964",Firozabad,Telugu,174095,National Public School,CBSE,BBA,nilimamani@example.org,+91 7720156002,Male,HR,Website,17:02:09,17:30:09,Priya,"No.of candidates placed, Fee Structure Inquiry, Specialization available",No
92,01-01-2024,William,21,Harsh,Engineer,"62/63, Gulati Path, Gudivada-523864",Sasaram,Kerala,798617,Don Bosco School,ICSE,MBA,sdua@example.org,+91 1977066950,Male,Marketing,Website,11:17:59,12:00:59,Priya,"Other Queries, Scope of the course, No Interest",No
